query,title,reviews,relevancia,price,boughtInLastMonth
0,"SAMSUNG Smart TV Crystal 50"" 4K UHD CU7700 - Alexa built in, Samsung Gaming Hub",269,4,2279.05,0
0,"Mini Projetor Portatil 5G Wifi 6 Bluetooth 5.0 Android 11, Projetor 4K 1080P Full HD Suporte 8000 Lumens, Projetor Led Auto de Correcção Trapezóide Horizontal, 180°Girável Projector para Telefónico",816,4,409.99,5000
0,"Samsung Smart TV Crystal 43"" 4K UHD CU7700 - Alexa built in, Samsung Gaming Hub",638,4,1969.0,0
0,"Samsung 60BU8000 - Smart TV LED 60' 4K UHD, Wifi, HDMI, USB",675,4,3099.0,0
0,Smart TV LED 32'' HD Samsung LH32BETBLGGXZD,3945,4,1079.9,0
0,"Samsung Q90T - Smart TV QLED 55"", 4K, UHD, 120Hz, Alexa built in, Processador com IA, Tela sem limites",313,4,3399.0,0
0,"Smart TV 43"" 4K LG UHD ThinQ AI 43UR7800PSA HDR Bluetooth Alexa Google Assistente Airplay2 3 HDMI",111,4,1899.0,0
0,"Samsung UN32T4300AGXZD - Smart TV LED 32"" HD, Wifi, HDMI, USB",2480,4,1071.0,0
0,"Smart TV LED 43"" Full HD Samsung LH43BETMLGGXZD, 2 HDMI, 1 USB, Wi-Fi, HDR, Sistema Operacional Tizen e Dolby Digital Plus",517,4,1799.0,0
0,"Roku Express - Streaming player Full HD, Transforma sua TV em Smart TV, Com controle remoto e cabo HDMI incluídos",8391,4,212.0,0
0,"Mini Projetor Portatil WiFi 5G Bluetooth 5.0,Salange Hy300 Smart Projetor Android 11, 8500 Lúmens Projetor LED 4K 1080P Full HD Suporte (EU Plug)",555,4,399.0,2000
0,Lâmpada Inteligente Smart Color 10W Elgin RGB Wifi Compatível com Alexa e Google Home,42444,4,49.93,0
0,"2022 Smart TV LG 32"" HD 32LQ620 WiFi Bluetooth HDR ThinQAI compatível com Smart Magic Google Alexa",978,4,1161.57,0
0,"Samsung Smart TV Crystal 55"" 4K UHD CU8000 - Alexa built in, Samsung Gaming Hub, Painel Dynamic Crystal Color",94,4,2861.24,0
0,Smart TV 32” Philco PTV32G23AGSSBLH Android TV LED,81,4,999.9,0
0,"Smart TV 50"" 4K LG UHD ThinQ AI 50UR8750PSA HDR Bluetooth Alexa Google Assistente Airplay2 3 HDMI",52,4,2198.3,0
0,"Samsung Smart TV Crystal 50"" 4K UHD CU8000 - Alexa built in, Samsung Gaming Hub, Painel Dynamic Crystal Color",176,4,2399.0,0
0,"Smart TV Crystal 65"" 4K UHD Samsung CU8000 - Alexa built in, Samsung Gaming Hub, Painel Dynamic Crystal Color",79,4,3496.0,0
0,Fast Smart TV Philco PTV40G7PR2CSBLF 40” Led Douby Audio,185,4,1499.0,0
0,"Smart TV 55"" 4K LG UHD ThinQ AI 55UR8750PSA HDR Bluetooth Alexa Google Assistente Airplay2 3 HDMI",87,4,2488.0,0
0,Suporte Fixo Universal de Parede Para TVs de 14” a 84” Até 100 kg - GENIUS ELG,24121,4,27.83,0
0,"Smart Tv Philco Roku 32"" Led Hd - Ptv32g70rch",2967,4,972.81,0
0,"Smart TV LED 50"" 4K UHD TCL 50P635 - Google TV, Wifi, HDMI",397,4,1899.05,0
0,"Smart TV LED 24' Monitor LG 24TL520S, Wi-Fi, WebOS 3.5, DTV Machine Ready",700,4,829.9,0
0,"Smart TV Philips 43"" Full HD 43PFG6918/78, Google TV, Comando de Voz, HDR, 3 HDMI, Wifi 5G, Bluetooth",10,3,1638.98,0
0,"PHILIPS Smart TV 50"" 4K Android Ambilight 50PUG7907/78, Google Assistant, Comando de Voz, Dolby Vision/Atmos, VRR/ALLM, Bluetooth 5.0, 4 HDMI",1170,4,2187.41,0
0,"Fast Smart TV LED 50'', 4K, PTV50M8GAGCMBL, Philco, Dolby Audio",14,4,2289.9,0
